講義名,平均評価ポイント,自由記述
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 授業プリントは埋める。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 特にないです。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / とらないほうがいい
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 復習プリントをした方が良い
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 暗記がんばりましょう
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 期末テストがあります。全範囲なのできついです。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 過去問はあてにしようね
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 中間テストがないと期末テストの範囲が広くなるので大変です。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 復習プリントなどしっかりしておかないと難しいです。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 課題を提出する。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / テストを頑張って、課題を提出する。
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 取るべきではない
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / ちゃんと勉強すべし
1233213　遺伝子工学,平均評価ポイント　　3.25,2024/12/20（金）　～　2025/01/16（木） / 内容が難しいので毎回授業を聞いてプリントを完成させましょう。
1223204　環境科学 II,平均評価ポイント　　3.40,2024/12/20（金）　～　2025/01/16（木） / 大気に関する問題や解決法の探し方などを学ぶことができた。
1223204　環境科学 II,平均評価ポイント　　3.40,2024/12/20（金）　～　2025/01/16（木） / 板書だけでなく話してることも大事だと思ったらノートに書く
1223204　環境科学 II,平均評価ポイント　　3.40,2024/12/20（金）　～　2025/01/16（木） / 課題しておけば大丈夫だと思われる。
1223204　環境科学 II,平均評価ポイント　　3.40,2024/12/20（金）　～　2025/01/16（木） / 課題は見れなくなるのでスクショやWordなどで保存した方がいい
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 難しいですが、プリントに問題を書く時間があるのはとても良かったです。書きながら理解しようと頑張りました。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 演習に取り組ませる時間もあってとても良かった。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / ありがとうございました。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 質問したらわかりやすく根気強く教えてくださり、大変助かりました。ありがとうございます。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / とてもわかりやすく教えてもらったため、化学工学の基礎的な部分に詳しく学ぶことができた。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / ありがとうございました。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 先生の授業すきです。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 楽しかったです
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 物体や液体の伝熱速度や比熱容量を求める式など様々な計算の方法を知ることが出来て良かった。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / しっかりと問題を解く時間があってよかった。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 毎回課題があり理解しやすかった。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 実験室レベルの化学反応ではなく、プラント規模の化学反応の実際を学ぶことが出来た。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / ありがとうございました
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 授業の内容は少し難しく感じたが、教えてくれるので助かりました。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / なし
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / なし
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 化学工学1より難しかったです。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / テストがんばりました
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 良い勉強になりました
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 特になし
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 難しいです。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 課題を提出してください。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 各回に配布される課題を解けるようにすれば大丈夫です
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 課題提出大事。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 課題をしっかりして、提出しよう。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 分からないところを無視するとあとに響きますぴえん
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / ちゃんと出席して演習問題を解けるようにすればなんとかなったりならなかったり
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 宿題を丁寧に行うこと。そしたらテスト勉強の時に非常に助かる。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 期末テストしかないので暗記頑張りましょう。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 提出プリントはちゃんと埋めとかないとテスト勉強の時に困るよ
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 楽しかったです
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / プリントにスクリーンの文字を書くだけではなくてちゃんと自分で解くとテスト勉強がはかどるまじで
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 複雑な式が多く、覚えるのが大変なので、授業後の復習をしっかり行なった方がいいと思います。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / バカな自分には無理でした。冬の一限は程よく取りましょう
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 復習をしっかりすればテストは大丈夫かなと思います。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / テストは課題からほとんど出ます。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 配られたプリントをやることが大切です。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / やめといた方がいいかと
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 授業の最後にまとめプリントが貰えるので、それをやれば大丈夫です。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / しっかり復習すること
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / プリントを書く
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 進むスピードが早すぎる。
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 松山先生やさしい
1233203　化学工学II,平均評価ポイント　　3.53,2024/12/20（金）　～　2025/01/16（木） / 皆さんが苦手と思われる化学装置（化学工学や生産技術）の内容でしたが、それなりに取り組んでくれたと思います。講義のスピードについては、いろいろとご意見もらいましたが、集中して講義に臨んでくれていれば、少し遅いくらいかなと思います。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 前期ありがとうございます
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / プリントに書いてある教科書ページと実際のものが違うところがあったので改善して欲しかった。 食品について学ぶことはとても楽しかった。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 少し難しかった。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 日頃食べるものがどのように影響を与えるのかが分かるのが楽しかったです。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 食品の大部分を知れて良かった。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 初めて学ぶことが多く、大変だったけど学べて良かったです。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 面白かったです。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 食品について詳しく知れてよかったです。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 食品の機能や食品に関わる化合物などいろいろ知れておもしろかった。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 食品について分かった。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 教科書とスライドを合わせての授業はわかりやすかったです。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 日常でも使えるようなことも学べて良かった
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 身の回りの食品を見ながら勉強できた。テストもう少し頑張れた。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 覚えることが多かったけれど、内容はとても興味深かった
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / タンパク質といった体に重要なものがどう作られているかというようなことを学ぶことができた。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 中間・期末あると思いますが、試験中は問題に集中して解いてください 時計を見る回数は減らすように意識してください 基本的な内容を問われます。基礎を定着させましょう。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / テスト勉強は早めに
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / どちらのコースでも履修した方が良い。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 小テストはちゃんと復習しないと解けません。期末テストは小テストの復習やプリントの空欄を見直すといいと思います。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 授業を真剣に聞き、理解しながら用語を覚えれば大丈夫だと思う。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 毎講義の最初にある小テストの勉強とフォームでやる宿題を忘れないこと
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 食品コースに行くのに迷っている人は受けた方がいいと思います！テスト勉強はちゃんとした方がいいです。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 暗記です
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 暗記が大変でした。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 暗記頑張る
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 教科書を読んでおく。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 毎回課題をやる
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 食品興味ある人は面白いと思います
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 教科書を読み込んで理解すること。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 食品を学ぶと水泡周りの食べ物の見方が変わると思うのでぜひ受けてみてください。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 食品コースに行かないと決めている人は、取らない方がいいです。
1223104　食品化学,平均評価ポイント　　3.61,2024/07/03（水）　～　2024/07/19（金） / 教科書にも書き込みをたくさん入れるほうがいい
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 食品に含まれる栄養素から構造式までを学び、それぞれ共通する箇所等を知ることが出来た。臭いにも構造式が関係あることを知って驚いた。
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 授業は分かりやすくて良かったです。
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 様々な食品の技能について知ることができてよかったです。
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / スライドが分かりやすかった。
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 課題の解説をしてくれたのがよかったです。
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / スライドが見やすかった
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 覚えることが多いです。
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / プリントと教科書をみる。
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 課題は必ず提出する。
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 授業で流れやポイントを抑えると勉強が少し楽になると思います。
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 課題をやる。
1233102　食品化学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 課題はちゃんとやる
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 高校では生物をとっていなかったとでこの講義で学べて良かった
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 授業で配られる穴埋め式プリントや復習用のプリントが勉強にとても役に立っています。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 高校で習う生物と新たに大学で学ぶ生物を学習することができた。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / プリントがわかりやすい。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 授業をしてくださりありがとうこざいます
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / スライド分かりやすかったです。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 高校生物より専門的で面白かったです。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 細菌のことについて学ぶことができた
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 知らないですよもう
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 授業が短く終わったらその日の復習を多くできるのでとても良かったです。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / もう少しゆっくり解説して欲しい
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 2組の人が1組の人からテスト問題をもらっていて不公平なので、2組のテストを1組のテストが終わった後すぐに行って欲しいです。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / わかりやすくて面白かったです。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 高校で学んだことに加えてそれを深めたものを学べて興味深ったです
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 生物を高校でやったことなかったけどわかりやすく説明してくれて助かった！
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 面白かったです
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 私たちが生活する上では欠かせないことを勉強することができて十分意義のある時間になりました。この知識を活かしてこれからの講義に臨みたいと思います。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 高校で生物学を履修してなかったので、最初は大変でしたが生物学をやっててとても楽しいです。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 復習プリントがありがたい。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 課題をしっかりやろう
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 中間テストと期末テストには気をつけろ！課題はしっかり提出するように！遅れても出せば大丈夫！
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 復習プリントはやったほうがいいです。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 出席しましょう
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 課題をやろう
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 課題忘れないように
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 課題を出す
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / この時代にそぐわない
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 課題毎週頑張って下さい
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 課題と授業資料で復習を行えばいいと思う
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / テストは課題プリントを覚えておくといいです。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 復習は徹底的に。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 課題は必ず忘れずに提出することに気をつけてください
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 課題のプリントをしっかり理解できるように頑張ろう！
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 頑張ってください
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 講義が終わったら一通り復習しておくと楽になると思います。
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 復習プリント、課題プリント、を見直す
1211103　生物学,平均評価ポイント　　3.47,2024/07/03（水）　～　2024/07/19（金） / 宿題をしっかり出す
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / ペットボトルのパッケージを読むのがとても勉強になりました。成分表示よく見るべきだと知ることができました。ペットボトルについてもっと色々知りたいです。
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / 授業がとても分かりやすかったです。宿題や課題プリントの答えを教えて欲しいです。出来ればテストの結果も公表して欲しいです。
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / パワポが見にくい
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / 質問をした際，優しく教えてくださりありがとうございました。
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / 中間テストの結果を返して欲しいです。
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / 宿題の答えがほしかったです。
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / プリント見やすくて良かったです。
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / わかりやすい
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / 高校で学んだことの復習や新たな知識を得ることができたのでよかったです。
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / 特に無いです
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / 課題プリントや復習プリントの解答をもらいたかったです。
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / 毎回面白い講義だった
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / 高校で習っていないことももっと知りたい
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / プリントが見やすくわかりやすかったです。 課題の答えを知りたいです。
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / スライドが分かりやすかった
1212103　生物学,平均評価ポイント　　3.52,2024/07/03（水）　～　2024/07/19（金） / スライドとプリントでわかりやすい
