講義名,平均評価ポイント,自由記述
1711101　ＣプログラミングI,平均評価ポイント　　3.60,2024/07/03（水）　～　2024/07/19（金） / 初めてプログラミングを学ぶことになった学生にとっては，少し難しいところもあったかもしれません．また，授業では，あくまで文法的なことしか説明していないので，実際に何かしらの計算処理を行うプログラムを作成することになっても，できないと思います．私自身も大学１年生でプログラミング授業を受講したときにはあまり理解できませんでした．しかし，４年生で研究室に配属されたときプログラミングができないと研究できないということになり，独自にいろいろなプログラムを読んだり作成したしたことで，ある程度のプログラムが書けるようになりました．この経験から，プログラミング技術を向上させるためには，授業で学習したことだけでなく，独自に復習，発展学習することも大事だと思うようになりました．みなさんも，今後いろんなところでプログラミングが必要な機会が何度もあると思うので，独自に学習を続けていってもらえたらと思います．
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / プログロムの基礎を分かりやすく学べた。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / もう少し実践的なことがしたかったです。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 難しかったが演習を通して少しずつ理解できるようになった。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 演習課題も通して、構文一つ一つを理解できた
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / とても難しく、スライドを見ても実際にプログラムを作るのは一人ではなかなかできませんでした。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 真面目に出来る環境をつくってくれたため、しっかりと受けることが出来た。また並走して進行してくれるため、今自分のやっていることが何なのか理解しやすかった。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / とても面白かったです
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / ｃが学べた
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 配布される資料が見やすくて復習しやすかった。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 復習の時間が少し長かった気がします
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / スライド資料を授業前に配るので、それをしっかり確認し説明を聞くことで、授業を理解することが出来ました。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 去年、落単したので今年はしっかり先生の話を聞き講義に臨みました。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / ｃ言語の基礎的なところを分かりやすく教えてくれた。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / しっかり復習して、理解できていないところをしっかりつぶしていきたいです。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / わかりやすく自分たちが理解できるまで解説してくれたのでわかりやすかった
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 高校で学んだことの振り返りから新しい内容まで学び、C言語について更に知ることが出来ました。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 応援しています
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 授業で学んだことを課題ですぐに復習することができるのが良かったです．
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 初めから真面目に受けないとおいていかれるよ。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 課題は必ず期限内に終わらせること、テスト前(小テストも含めて)は復習しておくこと
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 難しいし再履修者も結構いるので頑張ってください。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 何のために学ぶのかを考えて受けると、自分の成長を感じれます。準備はしっかりしましょう。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / とても難しいですが授業をしっかり聞いたらある程度わかるかも知れません
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / がんばれ
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 重要なところを必ず覚えておかないとテストが厳しくなる。復習をすれば内容が頭に入ってくる。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 課題と定期テストをしっかりしましょう
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 情報系の道に進みたいという人は、この授業を真剣に受けてください。２年以降でも、Cプログラミングでの学びを利用する機会があるので、めんどくさがらずに受けることをお勧めします。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / エラーが起こった場合は隣の人などと相談するのも良いと思いました．
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 毎回の講義に参加する。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / とても分かりやすいです。何回も練習をしましょう
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 課題もテストもしっかりやりましょう。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / エラーが出たら考えるより聞いた方が早かったりする
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 授業に出席して先生と一緒に解いていけば、課題は提出できると思います。
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 応援しています
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 授業をしっかり聞いていれば大丈夫です
1712101　ＣプログラミングI,平均評価ポイント　　3.65,2024/07/03（水）　～　2024/07/19（金） / 初めてプログラミングを学ぶことになった学生にとっては，少し難しいところもあったかもしれません．また，授業では，あくまで文法的なことしか説明していないので，実際に何かしらの計算処理を行うプログラムを作成することになっても，できないと思います．私自身も大学１年生でプログラミング授業を受講したときにはあまり理解できませんでした．しかし，４年生で研究室に配属されたときプログラミングができないと研究できないということになり，独自にいろいろなプログラムを読んだり作成したしたことで，ある程度のプログラムが書けるようになりました．この経験から，プログラミング技術を向上させるためには，授業で学習したことだけでなく，独自に復習，発展学習することも大事だと思うようになりました．みなさんも，今後いろんなところでプログラミングが必要な機会が何度もあると思うので，独自に学習を続けていってもらえたらと思います．
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 授業資料を進めながらプログラムの例を実行することで内容を詳しく知ることができました。
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 演習問題の内容にミスが多くあったため、講義で演習の説明を受ける前に自分で解く人が不利になる(ミスを考慮して課題をする必要がある)可能性があると感じました。
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 授業の中で説明を聞きながら穴埋めできるので分かりやすかった。
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 去年より課題がわかりやすかった
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 特になし
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 授業資料の解説をわかりやすくして頂き、理解していくことが出来た。
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 前期に比べてやはり難しくなっていたので大変だったけど、何とか単位は取れそうな感じなのでよかったと感じている。
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 対策問題が分かりやすかった。
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 演習課題や普段の課題をしっかり行いましょう
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 復習を必ず行う。演習課題と練習問題をすると良い。
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 大事なこともごもごもした話し方で聞き取りにくい
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 自分で課題を行う
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 復習大事
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 授業をしっかりと聞き、わからない内容をしっかり復習する
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 課題をしっかりやるのと、テスト勉強はほんとに本気でやった方がいい。
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 演習課題が自分でできるならテストも大体できる
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / しっかりと出席すべきです。
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / これでＣプロの授業は終わりとなり，今後どの授業を履修するかによってプログラムに触れることがなくなるかもしれませんが，情報工学部の学生としては，プログラミング言語にかかわらず，プログラムが作れることは必須の技術になると思いますので，それぞれ個人的にプログラミング学習を続けていってください．学習していてわからないことがあれば，質問受け付けますので（私が使っていない言語の場合には答えられないかもしれませんが），研究室に来て下さい．
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 授業資料や問題資料など，誤字・脱字等が多く，申し訳ありませんでした．言い訳になりますが，いろいろと試行錯誤しながら資料を作成していると，一方を修正したらもう一方も修正しなければならないのにそれを忘れたりして，整合性のない資料になってしまったりしました．今後，気を付けます．みなさんからも，そもそも初めて学ぶことなのでそれが誤りなのかどうかわからないかもしれませんが，少しでも疑問に思ったらすぐに指摘してもらえると，助かります．
1711202　ＣプログラミングII,平均評価ポイント　　3.45,2024/12/20（金）　～　2025/01/16（木） / 声が聞き取りにくいとの指摘がありました．大変申し訳ありませんでした．私としては，声を出しているつもりでした．今後，より意識していきたいと思います．みなさんからも，もし聞き取りにくい場面があったときには，すぐにその場で言ってもらえればと思います．
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / cプログラミングについて知ることが出来ました。
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 特にありません。
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 講義をしていただきありがとうございました
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 授業がとても難しかったのでオフィスアワーや勉強会は助かりました。勉強会に何故か成績が悪い生徒が来なかったのは本人の意識の低さが原因なので気にしない方がよいと思います。
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 課題もわかりやすくしっかりと学べた。
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / C言語についての学びが深まりました。
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 課題は必ず提出すること、テストは平均で50〜60ぐらい取っておくこと
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / しっかりと話を聞く
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 課題を計画的に
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 難しくなるので何度も資料を読み込みましょう
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 頑張ってください
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 演出課題と課題を必ず提出してテスト勉強頑張りましょう
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / オフィスアワーと勉強会には絶対にいけ。
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 復習大事
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 1回でも講義を休むと追いつくのが難しくなるので休まず毎回出席することを推奨します。
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / これでＣプロの授業は終わりとなり，今後どの授業を履修するかによってプログラムに触れることがなくなるかもしれませんが，情報工学部の学生としては，プログラミング言語にかかわらず，プログラムが作れることは必須の技術になると思いますので，それぞれ個人的にプログラミング学習を続けていってください．学習していてわからないことがあれば，質問受け付けますので（私が使っていない言語の場合には答えられないかもしれませんが），研究室に来て下さい．
1712203　ＣプログラミングII,平均評価ポイント　　3.41,2024/12/20（金）　～　2025/01/16（木） / 授業資料や問題資料など，誤字・脱字等が多く，申し訳ありませんでした．言い訳になりますが，いろいろと試行錯誤しながら資料を作成していると，一方を修正したらもう一方も修正しなければならないのにそれを忘れたりして，整合性のない資料になってしまったりしました．今後，気を付けます．みなさんからも，そもそも初めて学ぶことなのでそれが誤りなのかどうかわからないかもしれませんが，少しでも疑問に思ったらすぐに指摘してもらえると，助かります．
1731203　アカデミックプレゼンテーション,平均評価ポイント　　2.83,2024/12/20（金）　～　2025/01/16（木） / 授業資料のPDFに載せている内容と全く違うことをしだす可能性があるので気をつけてください
1732202　アカデミックプレゼンテーション,平均評価ポイント　　3.50,2024/12/20（金）　～　2025/01/16（木） / プレゼンテーション技術の向上に繋がった。
1732202　アカデミックプレゼンテーション,平均評価ポイント　　3.50,2024/12/20（金）　～　2025/01/16（木） / プレゼンの提出は早めに済ませておくことをお勧めします。
1732202　アカデミックプレゼンテーション,平均評価ポイント　　3.50,"2024/12/20（金）　～　2025/01/16（木） / 先生は1人だけ(川上輪子先生)です。毎回点呼があります。 発表の時だけでもしっかり出席しましょう！！！
 発表は全部で3回あります。 1回目は1人で資料を作しクラス全体の前で発表、2~3回目は4~5人のグループになり1つの企業について資料を作成しクラス全体の前で発表する。"
1731201　コンピュータグラフィックス,平均評価ポイント　　3.80,2024/12/20（金）　～　2025/01/16（木） / 高校生の時から興味を持っていたコンピュータグラフィックスを学ぶことができてとても有意義な時間を過ごすことができました。
1731201　コンピュータグラフィックス,平均評価ポイント　　3.80,2024/12/20（金）　～　2025/01/16（木） / 毎週出される課題の提出 2回行われる紙のテストと1回の演習課題
1731201　コンピュータグラフィックス,平均評価ポイント　　3.80,2024/12/20（金）　～　2025/01/16（木） / 毎週ある課題を自分の力できちんと提出すれば問題ないです。
1732201　コンピュータグラフィックス,平均評価ポイント　　3.80,2024/12/20（金）　～　2025/01/16（木） / blenderの使い方や3次元図形の制作における基礎知識を理解できた。
1732201　コンピュータグラフィックス,平均評価ポイント　　3.80,2024/12/20（金）　～　2025/01/16（木） / 面白かったです。
1732201　コンピュータグラフィックス,平均評価ポイント　　3.80,2024/12/20（金）　～　2025/01/16（木） / 講義中に制作物を完成させることをお勧めします。
1732201　コンピュータグラフィックス,平均評価ポイント　　3.80,2024/12/20（金）　～　2025/01/16（木） / 毎回課題はあるが全て授業中に終わります。動画もあるので見ながらやれば最悪1人でも課題は終わる。テストは筆記が2回 実技演習が1回あります。 テストはそんなに難しくないので先輩たちに聞いて軽く勉強すればいけます！
1732201　コンピュータグラフィックス,平均評価ポイント　　3.80,2024/12/20（金）　～　2025/01/16（木） / 最後の作成するやつがむずいので頑張ってね
1732201　コンピュータグラフィックス,平均評価ポイント　　3.80,2024/12/20（金）　～　2025/01/16（木） / 授業資料見てたらなんとかなります
1733106　幾何学とマルチメディア,平均評価ポイント　　3.10,2024/07/03（水）　～　2024/07/19（金） / 難しかったです。
1733106　幾何学とマルチメディア,平均評価ポイント　　3.10,2024/07/03（水）　～　2024/07/19（金） / レポートは全部で2つ、それぞれ3~4問ずつ。ノートは毎回しっかりとることをオススメする。でもレポート1.2は1人じゃ解けなかった。数学が得意な人と一緒に受講しよう！
1733106　幾何学とマルチメディア,平均評価ポイント　　3.10,2024/07/03（水）　～　2024/07/19（金） / 難しすぎ
1733106　幾何学とマルチメディア,平均評価ポイント　　3.10,2024/07/03（水）　～　2024/07/19（金） / ノートをとる時間が長いので、自分で考えれる時間を確保した方が充実できます
1733207　システム開発応用,平均評価ポイント　　3.33,2024/12/20（金）　～　2025/01/16（木） / 情報システムの開発プロセスを体験できた。
1733207　システム開発応用,平均評価ポイント　　3.33,2024/12/20（金）　～　2025/01/16（木） / 週報の提出が求められるため、早めに提出しましょう。
1733207　システム開発応用,平均評価ポイント　　3.33,"2024/12/20（金）　～　2025/01/16（木） / 後期の開講されたシステム開発応用は、例年通り、
①学生たちがプロジェクトチームを組んで電子機器の開発を授業で実践しました。②企画や仕様書の作成などの工程に取り組んで製品を完成させることを目指しました。③チーム内でモノづくりの価値観をすり合わせていく過程は電機メーカーの開発現場さながらで、そうした経験を得ることが出来ました。"
1723207　システム制御工学I,平均評価ポイント　　3.36,2024/12/20（金）　～　2025/01/16（木） / 資料をまとめてあるのがとてもよかったです
1723207　システム制御工学I,平均評価ポイント　　3.36,2024/12/20（金）　～　2025/01/16（木） / 意外と毎時間の内容が濃くて難しかった
1723207　システム制御工学I,平均評価ポイント　　3.36,2024/12/20（金）　～　2025/01/16（木） / 課題で知識の定着が測れてよかった
1723207　システム制御工学I,平均評価ポイント　　3.36,2024/12/20（金）　～　2025/01/16（木） / テストで，今までの復習課題の中や演習に出てこなかった考え方をする必要がある全く知らない問題を出すのをやめてほしい．せめて授業中になにか言っておいてほしい．
1723207　システム制御工学I,平均評価ポイント　　3.36,2024/12/20（金）　～　2025/01/16（木） / 課題と復習をしましょう
1723207　システム制御工学I,平均評価ポイント　　3.36,2024/12/20（金）　～　2025/01/16（木） / 復習課題を毎回出した方がいいです
1723207　システム制御工学I,平均評価ポイント　　3.36,2024/12/20（金）　～　2025/01/16（木） / 復習すること
1723207　システム制御工学I,平均評価ポイント　　3.36,2024/12/20（金）　～　2025/01/16（木） / 前半は知っている内容だと思いますが，後半から知らない内容になるので，頑張ってください．
1723207　システム制御工学I,平均評価ポイント　　3.36,2024/12/20（金）　～　2025/01/16（木） / 難しい内容ですが、課題を丁寧にこなそう
1723207　システム制御工学I,平均評価ポイント　　3.36,2024/12/20（金）　～　2025/01/16（木） / 学習してきた定型の知識を組み合わせ活用する問題を応用問題と呼びます。今回のテストに含まれる一部の問題もこの範疇に入るもので、全く知らない問題などというものはありません。よく考えてもらいのですが、これからの時代知っている知識の延長線だけで生き残れるでしょうか。どのような職業に就くにせよ活路があるとすれば道の領域の新たなサービスや製品を産み出すことです。無論、そううまくはいかないとしても何がしかの付加価値をつける必要があるはずです。それは既定路線の延長線上にはないわけで創造力や応用力が試されることになるでしょう。将来自分は制御工学とは無関係と思っているかもしれませんが、今目の前にある未知の問題に今の自分ならどのような事ができ得るのかということを考えてみることが重要だと思います。
1733110　システム制御工学II,平均評価ポイント　　3.50,2024/07/03（水）　～　2024/07/19（金） / 授業の動画をあげて確認できるようにしてくれていたので復習もしやすかったです。
1733110　システム制御工学II,平均評価ポイント　　3.50,2024/07/03（水）　～　2024/07/19（金） / 毎週出される課題をしっかりできれば問題ないと思います。
1723201　センサ情報処理,平均評価ポイント　　3.66,2024/12/20（金）　～　2025/01/16（木） / 計算式などが複雑で難しかったが理解度に合わせて講義が行われたため理解することができるようになった
