1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / システム制御についてさらに詳しく学んで行った。計算や演習でやっていることは簡単に感じたが、勉強していることは難しく、そのギャップが勉強する際大変だった。
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / 最後の課題によって理解を深めれた
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / レポート課題は友達と協力して行うこと。
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / 小テストが重要です。頑張ってください。
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / 特になし。
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / 先生の話を聞く
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / システム制御工学Ⅰと同じような授業形態です。その授業形態が受けやすいと思った人は受けてみるのはオススメです。
1433107　システム制御工学II,平均評価ポイント　　3.71,2024/07/03（水）　～　2024/07/19（金） / 小テストの復習をしよう
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 分からないところを丁寧に教えてくださりとても助かった。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / マトラブを用いて数値を変えることでどのように変化するかグラフを見て理解できたし、マトラブの使い方も再認識できてよかった
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 課題でその日の復習がしっかりできたのでテストに臨みやすかった。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 最初にやることを明確にしてくれることが助かりました！あまりプログラミングは苦手でしたが、的確な指導によって前よりも1人でプログラムを作れるようなりました
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 授業中に課題に取り組めて、分からない事は聞けるのでやりやすかった
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 図を描いて説明してくれるのが、わかりやすかった。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / ディジタルという言葉だけ聞くと難しそうだと最初思っていたが実際は先生が丁寧に教えてくれたおかげで少しでも理解を深める事ができた.
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 授業の最後に毎回課題がありすぐに授業内容を復習でき理解を深めれたのが良かったです。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / その時間内で課題を一緒に解いたりして、理解しやすかった。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 現代制御の内容を踏まえた授業となっていて、かなり難しく感じたが詳しく説明をして頂いたおかげで理解することが出来て良かったです。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 制御のプログラムを先生も同時に作成してくれるので間違っている箇所を発見しやすかったり，その関数の役割などを理解しやすかった．
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / マトラボを使用して、授業を受けるのが楽しかったです。またロータリーエンコーダなど実際に見せてくれて、より理解できました。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / matlabの使い方をはじめにマスターできるので簡単に計算やシミレーションができるようになり、とても有意義な科目でした。また、周りの人と教え合って学ぶことができるので身につきやすいなと感じました。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 講義中に課題の解説があるのでより理解がしやすくとてもよかったです。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 講義内容、課題の解説ともに分かりやすかった。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 皆が追いつけるペースで講義を進められていてよかった。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 私はこの授業で初めてMATLABを使用しました。MATLAB ONLINEの登録をする際、オンデマンドの授業だったため説明を聞くことが出来ませんでしたが、資料が分かりやすかったため何も問題なく行うことができました。しかしながらMicrosoft edgeだとうまく開けないことがあることに関する記述はその時の資料に一言記載した方が良かったのではないかと思います。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 実際にパソコン内のMATLAB機能を使っての演習を行い、より深い内容を学習することができた。わからないことがあればすぐに周りの人や先生に質問することができ、学習環境がとてもよかった。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 車のサスペンションの制御を基に様々な制御方法を学べた。また、マトラボを使うことで、より実践的に制御について学べたのでよかった。また、1、2年で学んだシステム制御工学で結局何をしていたのかが分かりやすく理解出来たのでよかった。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 分からない時には聞きやすい先生で、とてもやりやすい授業でした。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 実践をしながら、授業を進めていくので理解しやすかったです。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 毎回の課題で授業で学習したことを復讐することができてよかったです。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / プログラムが分からなくてもどこがわからないかを言ったら丁寧に教えていただいたので良かった
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / どのようなものを使うかを、授業プリントに書いたりすると見返しがしやすいのでオススメです。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 課題は必ず提出するようにした方がいい．
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / MATRABといったプログラミングソフトを使うので使う方を理解していくのと、板書や先生の話した内容をノート等にまとめておくと良い。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 講義中に課題を解く時間と解説があるのでしっかりとメモをとること。 課題の提出が遅れても点数は下がるが評価してくれるので提出すること。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / プリントの問題をより深く理解するとよい。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 4年生の研究になって使う可能性が高いマトラボの使い方をある程度学べます。別の講義で現代制御がありますが、それとも関係ある話が出てくるので、一緒に授業を取るといいと思います。
1433202　ディジタル制御,平均評価ポイント　　3.57,2024/12/20（金）　～　2025/01/16（木） / 授業でやり方を聞かないとできないので、必ず出席した方がいい。
1433202　ディジタル制御,平均評価ポイント　　3.57,"2024/12/20（金）　～　2025/01/16（木） / アンケートへご回答いただきありがとうございます。皆さんにとって受講しやすく、理解に繋がる講義ができたようで良かったです。皆さんが良いと感じてくれたところは次年度にも活かしてより良い講義になるよう工夫していきます。


下記はコメント頂いた内容に対する回答です。

>> Microsoft edgeだとうまく開けないことがあることに関する記述はその時の資料に一言記載した方が良かったのではないかと思います。
⇒ おっしゃる通りだと思います。お手を煩わせてしまい、失礼しました。次年度は改善する予定です。"
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / プレゼンテーション能力が上がったと思います．
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / コンピュータの仕組みについてよく理解できた
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / プレゼンテーションをするときに大切なことや人が見ているところを学べてよかった。
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 今まで何となくでやってきたプレゼン及び発表について，やったほうがいいこととやってはいけないことを改めて明確にしたうえで理解することができる価値のある講義だったと思う．
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / いいプレゼンの作り方がわかりました
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / プレゼンテーションにおいて守るべきことやプレゼンの仕方について学べた
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 授業資料を配布していただけるので，復習することをお勧めします．
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 課題は日曜の5塾時までだから忘れないよう気をつける
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 毎回５分程度の小テストがある。発表が2回ある。頑張れ。
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / プレゼンによる発表は知識だけでなく経験も重要なため，時間があれば繰り返し練習しましょう
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 先生の講義をよく聞き、プレゼンを作りましょう
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / プレゼン発表は早いうちから準備しておきましょう
1131102　プレゼンテーション,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / プレゼンテーションに慣れることができる
1431103　電気工学実験I,平均評価ポイント　　3.33,"2024/07/03（水）　～　2024/07/19（金） / テキストの加筆が多すぎるため改訂版をしっかりと出して欲しい。
教員ごとにレポートの採点基準が異なっており統一性がないため1度教員内ですり合わせをして欲しい。"
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 人によって評価の仕方が異なるのがおかしい。教材のミスが多くあれに500円の価値が無い。返金しろ。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / テキストの変更などがあると分かりにくかったです。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 楽しかったです。ありがとうございました。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 分かりやすかった。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 各教員の評価基準が違って毎度修正が面倒くさかった。教科書の修正が多すぎてわかりにくかった。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 特になし
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 生徒を主体とした講義であったので今後社会に出た時にやつに立つ講義であった。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 授業で学んだ電動機や発電機、電気産業機器を用いて様々な実験を行い、その機械の特徴や特性を学んだ。見やすいレポートを書くために様々なことを学べた。レポートを作成する際に1番初めは何も分からなかったので、お手本のレポートやその際に気をつけること(物理量は斜体、図、グラフと本文のフォントを合わせる、具体的な考察の書き方等)を一緒に記載した資料があるとレポートが書きやすくなると思う。また、機器の使い方を分からない生徒がほとんどだと思うので、電力計の説明が書いてあるようなプリントを用意したり、教科書と使用機器の名前が一致するようにすると実験もスムーズに進むと感じた。教科書も図表が正確でなかったりするので、予め説明しておくか、しっかり丁寧に作成されたものにするかすると、生徒のレポートの読みやすさの質は上がると思う。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / レポートが完成してないっていっていたが，自分はこれで大丈夫だと思って提出しているため，どこがダメか誰がダメかを個別で指名した方がいいと思う．しているならば全体に個別で連絡することを知らせるべきであると考えた．
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 実験を通して身をもって学ぶことが出来てとても良かったです
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 各先生によってレポートの書き方が違う。統一してほしい。実験で扱う器具が使えないものだったりして実験が遂行できない際に無駄に時間を使い授業外まで伸びることもある。しっかり点検など確認して欲しい。教科書の訂正が多い。改訂したものを出版して欲しい。 井上先生以外が実験を理解しているか怪しい。配線をチェックしてもらう際に配線が合っているにもかかわらず間違っていると言われ指摘された配線を変えてまた確認してもらとこれも違うといい最終的に最初に配線してた時と同じでよかったことなどあり十分理解してほしい。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 先生によってレポートの書き方に違いがあったりなん謎の難癖つけてきて減点しようとしてくる先生も居てただでさえきついレポートがさらにきつくなってほんと辛かったです。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 大変だったが、無事に終わることが出来たので良かった。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 教科書の修正がさすがに多すぎると感じた。特に1章から3章の林先生担当のところです。はじめに修正しといてほしい。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / レポートの作成にかなりの時間を使うので、予習をしっかりと行ったり、その他の科目の課題は早めに行うようにしましょう。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 無駄に時間使うので頑張ってください。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / さきにさきに取り組んだ方がいいです。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / レポートに力を入れないと落胆します。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 特になし。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 実験を集中して行う
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / レポートをきちんと出す。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 予習をした上で実験に臨むこと。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 2年後期の基礎学実験に引き続き実験の授業なので、レポートが重要になってきます。レポート作成は主に実験方法・原理の説明、結果と考察・課題、図表の作成の3つに大きくわけられると思うので、それらを作る時間を使って、分割的に進めるとレポート作成は楽になると思います。最初は本当に過酷ですが、徐々に慣れてくると思うので、慣れるまで頑張ってください。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 実験した日の夜からレポートを書き始めたほうがいい
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 様々な参考書を読んで理解を深めること
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 非常にきつい。先生たちにもっと楽にしてもらうように口論を問いかけたほうがいい。他の勉強と両立不可。
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 地獄地獄オブ地獄、ストレスでハゲかけるレベルだけど頑張ってくださいね
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 時間が空いてる時に一気にやると良い
1431103　電気工学実験I,平均評価ポイント　　3.33,2024/07/03（水）　～　2024/07/19（金） / 少しでも間違えていたら0点になるのでレポートの難しさを痛感した。
1432102　メカトロニクスII,平均評価ポイント　　3.28,2024/07/03（水）　～　2024/07/19（金） / プログラムについての理解が深まりました。
1432102　メカトロニクスII,平均評価ポイント　　3.28,2024/07/03（水）　～　2024/07/19（金） / 感想 何事もそうだが、学び始めはなんだこれと思っていた事柄も、よく学んでいくうちに訳が分かってきて、そこから将来このような分野に応用できるな、というような想像をすることができる。マイコンのデューティーファクターを弄るところでは、インバータのコンパレータに入力する三角波をマイコンから出力できるので、将来モータの速度制御にマイコンを使ってみようか、というような妄想がはかどる。
1432102　メカトロニクスII,平均評価ポイント　　3.28,2024/07/03（水）　～　2024/07/19（金） / 楽しかったです。
1432102　メカトロニクスII,平均評価ポイント　　3.28,2024/07/03（水）　～　2024/07/19（金） / 難しい内容だったがプログラミングについて理解を深めることができた
1432102　メカトロニクスII,平均評価ポイント　　3.28,2024/07/03（水）　～　2024/07/19（金） / 計画的にすることをお勧めします。
1432102　メカトロニクスII,平均評価ポイント　　3.28,2024/07/03（水）　～　2024/07/19（金） / 3年前期必修科目のパワーエレクトロニクスとの間で関連する知識があるので、ほかの科目の知識のシナプスを結びつけることに役立つと思う。
1432102　メカトロニクスII,平均評価ポイント　　3.28,2024/07/03（水）　～　2024/07/19（金） / レポートわ早めに取り組もう
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / ない
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 内容を簡潔にまとめられていてわかりやすかった。
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / プログラミングの基礎をを学べました。
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / pawarrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 様々なプログラムを学ぶ上でプリントがわかりやすく理解しやすかった。
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / おもしろい
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 楽しい講義でした。ありがとうございました
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / とても楽しく、ためになる講義でした。
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 第11回12回課題の回答を授業資料にアップロードしてほしいです。
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / ぎゃんばれ
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 頑張ってください。
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 授業はあまり難しくないので、落ち着いて授業をしっかり受けて課題に取り組んでください。キーボードを見ないタイピングに慣れておくとより良いです。
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / テスト前に過去問をとく時間があるので、それの対策だけしておきましょう
1421103　プログラミング言語,平均評価ポイント　　3.75,2024/07/03（水）　～　2024/07/19（金） / 「わかりやすかった、よかった」とのコメントが多かったですが、昨年度から変更した点がいくつかあり、それらが上手くいっていたことが確認できてよかったです。皆さんの回答内容は次年度以降の講義の改善に活用させて頂きます。また、意見・要望に関するコメントについては次のように返答します。>> 加点問題の答えが欲しいです。>> 第11回12回課題の回答を授業資料にアップロードしてほしいです。基本的に提出期限が過ぎたものから全ての正答をアップロードしています。>> 課題が終わった人から帰れるようなシステムにして欲しかったです。解説も聞き、解答に対する考え方が合っているか確認してもらいたかったので、残ってもらうようにしていました。ただ、課題が早く終わる人にとっては時間が余分だったかと思いますので、授業の構成を検討します。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / ビィジワルスタジオの使い方を理解することができたので良かったです。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / WiFiをアップグレードしてほしいです
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / とても楽しかった！
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / とても分かりやすかったです。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / とても説明がわかりやすかったので、すんなり演習問題も解くことができました。わからない場合でも優しく丁寧に教えてくれました。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / プログラミングの基礎について学ぶことができました。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / パソコンでマイフィットが開きにくかったりしたのでそこを改善するといいと思いました。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / 楽しくプログラミングを学ぶことができました。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / 加点問題の答えが欲しいです。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / 自分で考えて、取り組むのが良かったです。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / いつもありがとう。楽しい抗議を受けれて私ははっぴーです
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / たくさんの知識を学べてよかったです。 特に要望はない
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / C言語の入りとして学ぶことができてよかった。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / 授業が分かりやすく進められており、楽しく学ぶことができました。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / とても楽しく学べて、尚且つわかりやすく学べて良かったです。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / 課題が終わった人から帰れるようなシステムにして欲しかったです。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / 課題の加点問題も解いておいたほうがいいです
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / 加点問題を毎回やった方がいいです
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / 加点問題をやる。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / 先生が言っていることはしっかりとメモしてまとめておくこと。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / 通常に授業を受けて、課題をとければテストも大丈夫です。
1422103　プログラミング言語,平均評価ポイント　　3.69,2024/07/03（水）　～　2024/07/19（金） / テストの1個前の授業は特に大事です。
