講義名,平均評価ポイント,自由記述,感情スコア,ポジティブ表現,ネガティブ表現
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングについて学べた,-0.090944333,,つい(-0.55)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,教科書と照らし合わせながらスライドで説明、そしてメモをとる時間を設けていただいたた、その講義中にしっかりと身につけながら学ぶことが出来ました。,-0.18997427,,"教科書(-0.32), と(-0.22), スライド(-0.51), 説明(-0.78), メモ(-0.46), 時間(-0.95), 講義(-0.43), 中(-0.98), と(-0.22), 身(-0.98), 学ぶ(-0.55), 出来(-0.65)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,実例を基に様々なケースのマーケティングについて学ぶことができました。初めて聞く専門用語も多々ありましたが、授業中の説明で理解することができました。,-0.156274214,,"実例(-0.47), 基(-0.61), ケース(-0.29), つい(-0.55), 学ぶ(-0.55), 初めて(-0.92), 聞く(-0.71), 授業(-0.41), 中(-0.98), 説明(-0.78), 理解(-0.31)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,この授業では、専門用語が多く難しいと感じましたが、先生の授業の解説がすごく分かりやすかったです。半年間ありがとうございました。テスト頑張ります。,-0.160737395,,"授業(-0.41), 多く(-0.88), 難しい(-1.00), と(-0.22), 感じ(-0.97), 先生(-0.24), 授業(-0.41), 解説(-0.41), 半年(-0.44), 間(-0.80), テスト(-0.34)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,話が面白かったです。毎回楽しく受けることが出来ろ知識も増えました。,-0.115699667,,"話(-1.00), 受ける(-0.97), 知識(-0.12)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,企業の実例から学ぶマーケティングだったので、学習しやすかった。,-0.1285285,,"企業(-0.59), 実例(-0.47), 学ぶ(-0.55), 学習(-0.45)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングについての専門知識を学ぶことができた。,-0.084046077,,"つい(-0.55), 学ぶ(-0.55)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,いろんな業界や企業についてのマーケティングを学んだ。それぞれの適したマーケティングで今まで成長してきた企業のことを学び、これからのマーケティングについて興味が持てました。,-0.090865,,"業界(-0.23), や(-0.28), 企業(-0.59), つい(-0.55), それぞれ(-0.75), 企業(-0.59), つい(-0.55), 興味(-0.47)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,この授業を通して身近なマーケティングにも触れることができたので良かった,-0.084227895,,"授業(-0.41), 通し(-0.45), 触れる(-0.75)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングに関する専門用語を知る事が出来ました。また、私のアルバイト先が小売業のため、講義とバイトと関連づけて思考する事も出来ました。,-0.171609297,,"関する(-0.31), 知る(-0.42), 事(-0.94), 出来(-0.65), 講義(-0.43), と(-0.22), バイト(-0.49), と(-0.22), 関連(-0.62), 思考(-0.46), 事(-0.94), 出来(-0.65)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,わからないことが新たにしれたらしたので、とても勉強になりました。,-0.0714289,,"ない(-1.00), とても(-0.17), 勉強(-0.26)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,様々な企業の事例をもとにマーケティングについて学べるので、楽しく受講できた。写真を撮っていたのは、前を見上げずにノートを撮るためです。,-0.067463317,,"企業(-0.59), 事例(-0.30), つい(-0.55), 受講(-0.13), 写真(-0.87), ノート(-0.33)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,知らないことが学べました,-0.142856714,,ない(-1.00)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,話が分かりやすかったです,-0.166151333,,話(-1.00)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,とても興味深い内容でした,-0.247471,,"とても(-0.17), 興味(-0.47), 内容(-0.85)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングついて詳しく学べた,-0.090944333,,つい(-0.55)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,わかりやすかった,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,授業としては正直、先生は必要ないんじゃないのかなと思います。毎年同じ内容ですし、スライドを書き写すだけのつまらない講義です。逆説的にほとんどの学生が単位取得のために履修しています。真面目に学生が損をする仕組みになっているので仕方ありません。松藤教授が学生誌で言ったように大学では人間関係を学べばよいのです。内容によっては教授から直接回答がくるなんてことはありません。まず、この回答は見てもスルーするのがオチです。,-0.130643173,"正直(0.33), 真面目(0.96)","授業(-0.41), と(-0.22), 先生(-0.24), 必要(-0.92), ない(-1.00), ない(-1.00), と(-0.22), 思い(-0.68), 毎年(-0.53), 内容(-0.85), スライド(-0.51), ない(-1.00), 講義(-0.43), 学生(-0.64), 単位(-0.92), 取得(-0.11), 履修(-0.59), 学生(-0.64), 損(-0.78), 仕方(-0.95), 教授(-0.24), 学生(-0.64), 誌(-0.49), 大学(-0.34), 内容(-0.85), 教授(-0.24), 直接(-0.84), 回答(-0.46), まず(-0.70), 回答(-0.46)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングについて理解を深めることができた。,-0.104500417,,"つい(-0.55), 理解(-0.31), 深める(-0.40)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,毎回の授業資料がわかりやすかったです。,-0.0786528,,"授業(-0.41), 資料(-0.38)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,"3回講義があるごとに小テストがあります。教科書と板書ノートを見ながら受けましょう。休んでしまって、板書ができなかったりすると、結構困るので、注意しましょう。

小テストの受け忘れは、基本的にはないはずです。講義時間中にやってくれるので。",-0.146969014,結構(0.61),"回(-0.72), 講義(-0.43), ごと(-0.52), 小(-0.54), テスト(-0.34), 教科書(-0.32), と(-0.22), 板書(-0.23), ノート(-0.33), 受け(-0.18), ましょう(-0.27), 板書(-0.23), と(-0.22), 困る(-1.00), 注意(-0.69), ましょう(-0.27), 小(-0.54), テスト(-0.34), 受け(-0.18), ない(-1.00), 講義(-0.43), 時間(-0.95), 中(-0.98)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,テストを忘れずに受ける,-0.217215833,,"テスト(-0.34), 受ける(-0.97)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,講義に参加してスライドをメモする,-0.204646222,,"講義(-0.43), 参加(-0.44), スライド(-0.51), メモ(-0.46)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,しっかりメモをとったら大丈夫です。,-0.0574105,,メモ(-0.46)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,小テストはちゃんとしよう,-0.2314768,,"小(-0.54), テスト(-0.34), ちゃんと(-0.28)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,頑張れ,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,メモとる,-0.229642,,メモ(-0.46)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,毎回授業をきちんと聞いてメモをとる事が大事です,-0.065136031,きちんと(0.98),"授業(-0.41), メモ(-0.46), 事(-0.94), 大事(-0.02)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,意義ある学びができます,-0.041434667,,意義(-0.25)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,お話を聞きましょう,-0.2534844,,"話(-1.00), ましょう(-0.27)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,マーケティングを学びたい人は、絶対に取った方が良い科目だと思います。とても分かりやすかったです。,-0.071680654,良い(1.00),"絶対(-0.38), 方(-0.94), 科目(-0.48), と(-0.22), 思い(-0.68), とても(-0.17)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,しっかりとメモをとる。,-0.112512833,,"と(-0.22), メモ(-0.46)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,話をしっかり聞いて復習すると良いと思います。,-0.092854715,良い(1.00),"話(-1.00), 復習(-0.10), と(-0.22), と(-0.22), 思い(-0.68)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,なし。,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,楽しかった,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,メモを取ること、授業に来ること,-0.203535889,,"メモ(-0.46), 授業(-0.41), 来る(-0.97)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,メモをしっかりとり、ミニテストにのぞみましょう。,-0.0729798,,"メモ(-0.46), ましょう(-0.27)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,４回に1回ほどテストがあるのでがんばってください,-0.127168429,,"回(-0.72), 回(-0.72), テスト(-0.34)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,ノートをしっかり取る,-0.08294475,,ノート(-0.33)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,日頃から周りのマーケティングに注目すると授業に取り組みやすくなる,-0.059957964,日頃(0.06),"注目(-0.27), と(-0.22), 授業(-0.41)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,小テストが少し難しいので復習したほうがいいと思います,-0.240134206,,"小(-0.54), テスト(-0.34), 少し(-0.97), 難しい(-1.00), 復習(-0.10), と(-0.22), 思い(-0.68)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,ミニテストしっかりすること,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,ノートをしっかりとる,-0.08294475,,ノート(-0.33)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,テストがあるので、しっかり勉強しましょう。,-0.078926909,,"テスト(-0.34), 勉強(-0.26), ましょう(-0.27)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,3回に1回ほどミニテストがあります。ミニテストは友達と話し合ってできるので協力したらかなり満点を取りやすいです。 説明が分かりやすくてノートが取りやすいので、期末持ち込み不可ですが専門知識を学びたい人などは取るととてもいいと思います。 身近な会社のマーケティングや経営戦略などを学べるのでイメージが湧きやすく、とても面白いです。,-0.064687161,"友達(0.96), 期末(0.01), 面白い(0.99)","回(-0.72), 回(-0.72), と(-0.22), 協力(-0.26), かなり(-0.27), 満点(-0.08), 説明(-0.78), ノート(-0.33), 不可(-0.13), と(-0.22), とても(-0.17), と(-0.22), 思い(-0.68), 会社(-0.71), や(-0.28), 経営(-0.60), 戦略(-0.68), イメージ(-0.29), とても(-0.17)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,予習復習を行うとより効率的に学習が行えると思います。,-0.13142682,,"予習(-0.31), 復習(-0.10), と(-0.22), 学習(-0.45), と(-0.22), 思い(-0.68)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,小テスト頑張れ,-0.292199333,,"小(-0.54), テスト(-0.34)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,授業のスライドのメモをしっかり取ることと、最後に配布されるまとめプリントについてはテスト前に全て完璧に答えられるようにすれば問題ないと思います。,-0.1845602,完璧(0.04),"授業(-0.41), スライド(-0.51), メモ(-0.46), と(-0.22), 最後(-0.66), 配布(-0.33), さ(-0.94), プリント(-0.42), つい(-0.55), テスト(-0.34), 問題(-0.72), ない(-1.00), と(-0.22), 思い(-0.68)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,小テストで満点をとる事だと思います。,-0.232756208,,"小(-0.54), テスト(-0.34), 満点(-0.08), 事(-0.94), と(-0.22), 思い(-0.68)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,頑張ってください,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,しっかりメモを取ることが大事です,-0.060053925,,"メモ(-0.46), 大事(-0.02)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,ノートは紙ではなくパソコンで取った方がいいです。持ち込みできないので手書きする必要はありません。,-0.154577866,,"ノート(-0.33), 紙(-0.99), パソコン(-0.13), 方(-0.94), ない(-1.00), 手書き(-0.01), 必要(-0.92)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,素早くノートをとる必要があります。,-0.139558667,,"ノート(-0.33), 必要(-0.92)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,メモをしっかり取って重要な部分に線を引く。小テストの復習をする。,-0.155040165,,"メモ(-0.46), 重要(-0.67), 引く(-0.99), 小(-0.54), テスト(-0.34), 復習(-0.10)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,有名会社のマーケティング理論などを理解出来て面白い。,-0.03884275,"有名(0.81), 面白い(0.99)","会社(-0.71), 理論(-0.59), 理解(-0.31), 出来(-0.65)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,事前に予習しておくと良いです,0.030648,良い(1.00),"事前(-0.20), 予習(-0.31), と(-0.22)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,特にありません。,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,メモを取ると小テストで役に立つのでしっかり講義を聞いた方が良い,-0.1897274,良い(1.00),"メモ(-0.46), と(-0.22), 小(-0.54), テスト(-0.34), 役(-0.91), 立つ(-0.96), 講義(-0.43), 方(-0.94)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,しっかりと出席しましょう,-0.153837,,"と(-0.22), 出席(-0.28), ましょう(-0.27)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,スライドをまとめる。,-0.12780625,,スライド(-0.51)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,課題をしっかりする。 テスト勉強をしっかりする。,-0.08274,,"課題(-0.40), テスト(-0.34), 勉強(-0.26)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,授業には毎回出席すること。小テストは友達と協力して解けば満点取れる。期末試験の勉強を頑張る。,-0.060411995,"友達(0.96), 期末(0.01), 頑張る(0.98)","授業(-0.41), 出席(-0.28), 小(-0.54), テスト(-0.34), と(-0.22), 協力(-0.26), 満点(-0.08), 取れる(-0.78), 試験(-0.47), 勉強(-0.26)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,小テストを頑張りましょう,-0.2294224,,"小(-0.54), テスト(-0.34), ましょう(-0.27)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,授業資料をPDFで出してほしいです,-0.087392,,"授業(-0.41), 資料(-0.38)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,講義中、メモや板書をすること,-0.263762222,,"講義(-0.43), 中(-0.98), メモ(-0.46), や(-0.28), 板書(-0.23)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,しっかりとノートを摂ること,-0.091262,,"と(-0.22), ノート(-0.33)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,おすすめです,0,,
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,書き写さずスマホで撮影した学生が高得点をとります。例年そうなので、くそ真面目に書き写さず、素直に先輩に過去問と資料を見せてもらいましょう。すべてそこに書いてあります。仮に内容が変わったとしても、採点を面倒臭がる先生なので穴埋めもしくは簡単な四者択一しかでません。期末も同様です。,-0.088550474,"真面目(0.96), 択一(0.13), 期末(0.01)","撮影(-0.58), 学生(-0.64), 例年(-0.38), 先輩(-0.35), と(-0.22), 資料(-0.38), ましょう(-0.27), 仮(-0.43), 内容(-0.85), と(-0.22), 採点(-0.42), がる(-0.92), 先生(-0.24), 穴埋め(-0.36), 簡単(-0.66), 四(-0.95), 者(-0.59)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,講義にちゃんと出ること,-0.1415548,,"講義(-0.43), ちゃんと(-0.28)"
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,しっかりメモ取っておいてください,-0.065612,,メモ(-0.46)
1923103　マーケティング論Ⅰ,平均評価ポイント　　3.57,スマホでの撮影は許可していません。授業でも再三注意しています。また、画像の共有や転送、公開などに関しては、毅然とした対応をとるつもりです。,-0.084461543,毅然(0.98),"撮影(-0.58), 許可(-0.20), 授業(-0.41), 再三(-0.46), 注意(-0.69), 画像(-0.59), 共有(-0.24), や(-0.28), 転送(-0.42), 公開(-0.38), と(-0.22), 対応(-0.40)"
1923204　経営情報論,平均評価ポイント　　3.53,テストが難しかった,-0.084542,,テスト(-0.34)
1923204　経営情報論,平均評価ポイント　　3.53,楽しかった,0,,
